tipo,key_normalizada,mongo_existe,mongo_source,mongo_id,mongo_nombre,mongo_modulo,mongo_user,mongo_role,sql_existe,sql_source,sql_id,sql_nombre,sql_modulo,sql_user,sql_role,dictamen,accion_recomendada,riesgo,motivo
PERMISO,10_edarsa_go_cobros,False,,,,,,,True,dbo.Sistema_Modulos,,EDARSA GO / Cobros,10,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,11_contabilidad,False,,,,,,,True,dbo.Sistema_Modulos,,Contabilidad,11,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,12_recursos_humanos,False,,,,,,,True,dbo.Sistema_Modulos,,Recursos Humanos,12,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,13_activos_fijos,False,,,,,,,True,dbo.Sistema_Modulos,,Activos Fijos,13,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,14_crm_relaciones,False,,,,,,,True,dbo.Sistema_Modulos,,CRM / Relaciones,14,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,15_comisiones,False,,,,,,,True,dbo.Sistema_Modulos,,Comisiones,15,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,16_portal_de_proveedores,False,,,,,,,True,dbo.Sistema_Modulos,,Portal de Proveedores,16,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,17_portal_de_comisionistas,False,,,,,,,True,dbo.Sistema_Modulos,,Portal de Comisionistas,17,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,18_portal_de_clientes,False,,,,,,,True,dbo.Sistema_Modulos,,Portal de Clientes,18,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,19_chef_ia_calidad,False,,,,,,,True,dbo.Sistema_Modulos,,Chef IA / Calidad,19,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,1_direccion_tablero_ejecutivo,False,,,,,,,True,dbo.Sistema_Modulos,,Dirección / Tablero Ejecutivo,1,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,20_inteligencia_artificial,False,,,,,,,True,dbo.Sistema_Modulos,,Inteligencia Artificial,20,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,21_calidad_auditoria,False,,,,,,,True,dbo.Sistema_Modulos,,Calidad / Auditoría,21,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,22_proyectos_tareas,False,,,,,,,True,dbo.Sistema_Modulos,,Proyectos / Tareas,22,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,23_marketing,False,,,,,,,True,dbo.Sistema_Modulos,,Marketing,23,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,24_reportes_bi_analitica,False,,,,,,,True,dbo.Sistema_Modulos,,Reportes BI / Analítica,24,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,25_integraciones_conectores,False,,,,,,,True,dbo.Sistema_Modulos,,Integraciones / Conectores,25,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,26_catalogos_maestros,False,,,,,,,True,dbo.Sistema_Modulos,,Catálogos Maestros,26,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,27_administracion_sistema,False,,,,,,,True,dbo.Sistema_Modulos,,Administración Sistema,27,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,28_punto_de_venta_generico,False,,,,,,,True,dbo.Sistema_Modulos,,Punto de Venta Genérico,28,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,2_comercial_ventas,False,,,,,,,True,dbo.Sistema_Modulos,,Comercial / Ventas,2,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
PERMISO,3_comandero_restaurantero,False,,,,,,,True,dbo.Sistema_Modulos,,Comandero Restaurantero,3,,,SQL_EVOLUCIONADO_NO_EXISTIA_EN_MONGO,SIN_ACCION,BAJO,En SQL pero no en Mongo (evolución de SQL).
